s_transport,rho,oracle_cov,plugin_cov,da_cov,oracle_w,plugin_w,da_w,clean_sup_mean,cont_sup_mean,dominance_ok
0.5,0.18132794493493062,1.0,1.0,1.0,0.40530692923865574,0.39629323509040787,0.38065883820521834,0.103333438786962,0.10618247760073965,1.0
0.5,0.19850121707467122,1.0,1.0,1.0,0.35063982837318586,0.3600509633465959,0.29113309015627314,0.09748821747843074,0.0997715742076219,1.0
0.5,0.18598615360225515,1.0,1.0,1.0,0.33069652396365734,0.37110758855195314,0.31481061522950055,0.10118682106928002,0.10439226306057474,1.0
0.5,0.1653997722450528,1.0,1.0,1.0,0.39982329299216846,0.4177999684109864,0.35555282158942486,0.11449341365802028,0.11344584441820302,0.0
0.5,0.19740232774508842,1.0,1.0,1.0,0.3393275828067782,0.3702449307911535,0.27386137698953483,0.0975191667136238,0.09969157364888506,1.0
0.5,0.17947116269688776,1.0,1.0,1.0,0.36699383241456635,0.39744361112595017,0.3606961283317911,0.10409217410021811,0.11281422673085985,1.0
0.5,0.20997397121436895,1.0,1.0,1.0,0.3208231183808585,0.3485878464901602,0.3094119976023807,0.0890498226500525,0.09762562294913497,1.0
0.5,0.1968010072828254,1.0,1.0,1.0,0.336669839028134,0.3463041449505774,0.2902749472254803,0.10254545592159164,0.10932241616884747,1.0
0.5,0.21012626783596527,1.0,1.0,1.0,0.32554245476567784,0.30732888510483836,0.2979794969406632,0.08871993988014076,0.09412716639413046,1.0
0.5,0.1844992702580129,1.0,1.0,1.0,0.3861439715628208,0.3889234628729665,0.3731822369102447,0.09773557202890328,0.10759261256271664,1.0
0.5,0.20207030395938191,1.0,1.0,1.0,0.36107265891071927,0.33637242980636667,0.28771997242650504,0.10037881008626122,0.09938157693528017,0.0
0.5,0.2166535058019179,1.0,1.0,1.0,0.29773437729884095,0.3306141191723272,0.30066828412348345,0.08782382769701248,0.09592189617608758,1.0
0.5,0.2743489865638862,1.0,1.0,1.0,0.25374495238722783,0.27326174742945647,0.22362002516928642,0.07645286350805185,0.08033784327567439,1.0
0.5,0.1640964656199329,1.0,0.0,1.0,0.4005948368121997,0.37202764335712557,0.3861761554707947,0.12017374114228938,0.12358511694364342,1.0
0.5,0.19748449635118548,1.0,1.0,1.0,0.3654916951525805,0.3374205403993348,0.2954993986452797,0.09478857690674287,0.1024121049494722,1.0
0.5,0.21404018175323875,1.0,1.0,1.0,0.32441859855032495,0.3464854754069635,0.2851452437443784,0.09393197856389911,0.09898323145436715,1.0
0.5,0.1845638047966667,1.0,1.0,1.0,0.36371553818808533,0.3917236967129004,0.3699316460303712,0.10212967754327588,0.11225672786660836,1.0
0.5,0.20636389154908413,1.0,1.0,1.0,0.3373803605122601,0.3253628927757027,0.3179118515135858,0.09986838553547026,0.1077256722876731,1.0
0.5,0.249955752576884,0.0,0.0,1.0,0.29873514634720005,0.317521808505101,0.3249306538814156,0.07589332013452633,0.07875521228017877,1.0
0.5,0.23635128135644687,0.0,0.0,1.0,0.28628368204716054,0.32990830224430334,0.3046610247268461,0.08283294938142316,0.09049225062845645,1.0
0.5,0.21270188299647502,1.0,1.0,1.0,0.3580661241637436,0.36936916986315316,0.32500405046198755,0.08327373029707574,0.08725936427533196,1.0
0.5,0.18760047431843668,1.0,1.0,1.0,0.34198868442811425,0.3788871776846946,0.34757187611755025,0.10438081390198192,0.1074138099129023,1.0
0.5,0.19580997670020256,0.0,0.0,1.0,0.3776985849743074,0.3791417521096722,0.34364117691782087,0.09513485600122673,0.10274718256349086,1.0
0.5,0.18850292812769193,1.0,1.0,1.0,0.37284312836365885,0.37000392764817674,0.33605043781270655,0.09898548401153555,0.1093609378518237,1.0
0.5,0.1959772732106948,1.0,1.0,1.0,0.3682566041214598,0.38299612534377997,0.30130822140409663,0.09341215358076667,0.09837371539725673,1.0
0.5,0.24345288319118102,1.0,1.0,1.0,0.31709700753757347,0.28544020027330663,0.2596144403857498,0.08316409270617754,0.08684156472932719,1.0
0.5,0.2383287843092198,1.0,1.0,1.0,0.3213910555856705,0.31883595483367966,0.27303670742867914,0.08398044165386516,0.0895577241192453,1.0
0.5,0.20727379913783164,1.0,1.0,1.0,0.3354508347744037,0.3424645770629384,0.32592249189915656,0.09142252175835759,0.09840798980261413,1.0
0.5,0.18972650639273503,1.0,1.0,1.0,0.32226341374576173,0.3703082744119384,0.33291369111169944,0.10221669735685791,0.10831269686064125,1.0
0.5,0.18860100161962035,0.0,0.0,0.0,0.33700590083060533,0.3949253577634855,0.37661857602189713,0.1075985345223401,0.11407218347900573,1.0
0.5,0.20437370118954332,1.0,1.0,1.0,0.348704319337306,0.3582247790467424,0.33823562254680395,0.09217690418635835,0.09737666301748864,1.0
0.5,0.21836276219067016,1.0,1.0,1.0,0.31112787077627935,0.3178314720749854,0.2947543185980261,0.09324694429737299,0.09459384228028635,1.0
0.5,0.21607672694786847,0.0,0.0,0.0,0.2844368531806193,0.33374672208173994,0.2958080213638232,0.08943752793151351,0.09942132645530777,1.0
0.5,0.22089137166980255,0.0,0.0,0.0,0.30716260607390805,0.3234651528057297,0.28970610940704683,0.0848284621857917,0.09015648844427059,1.0
0.5,0.23719720751791804,1.0,1.0,0.0,0.34821045599044365,0.3539806311372134,0.26460665191506233,0.07916179388187278,0.083586550152008,1.0
0.5,0.18606888663674187,0.0,0.0,0.0,0.35695810089785773,0.34520375281048343,0.29664298149607105,0.10551062575058041,0.10441638729389316,0.0
0.5,0.2122294124656539,1.0,1.0,1.0,0.33036849397690166,0.31772947713217947,0.34148961421901075,0.08508716107445947,0.0921711375202624,1.0
0.5,0.17504133283251883,1.0,1.0,1.0,0.38647005361642356,0.36652505936277835,0.3484590969026633,0.10164625495752277,0.11089207924338894,1.0
0.5,0.17865909635310714,1.0,1.0,1.0,0.3937563388183213,0.3713730843001817,0.3502686401092565,0.10403371080609165,0.10732208075589143,1.0
0.5,0.18634386790967694,1.0,1.0,1.0,0.3512748222780006,0.35188419466680954,0.3187193466923424,0.10849321771118386,0.1163963509117019,1.0
0.5,0.19817055031350345,1.0,1.0,1.0,0.30619686531347534,0.34774858045847235,0.30975145607283416,0.0952600955661574,0.1028969954613979,1.0
0.5,0.2382958480497225,1.0,1.0,1.0,0.34641120791323643,0.3277109247956215,0.27927630005447746,0.07607628274439143,0.08193404535668815,1.0
