outcome,f,rep,target,rho,branch,stable,w_adaptive,w_cons,cov_adaptive,cov_T1,cov_T2,cov_T3
b13,1.0,8,28,0.11487498193363435,T1,True,0.3273111563240955,0.3592779501756288,1,1,1,1
b13,1.0,8,40,0.1152997294300097,T1,True,0.3277094653934698,0.35971516003913695,1,1,1,1
b13,1.0,8,41,0.11471133297935951,T1,True,0.3270444655852833,0.35898521312673826,1,1,1,1
b13,1.0,9,1,0.11591053881040123,T1,True,0.32740998033720575,0.3580656371125499,1,1,1,1
b13,1.0,9,2,0.11565598301753185,T1,True,0.32652861977510966,0.3571017540602746,1,1,1,1
b13,1.0,9,3,0.1192681625656538,T1,True,0.3269291387547622,0.35753977395043574,1,1,1,1
b13,1.0,9,4,0.1184461910601055,T1,True,0.32586256524354995,0.3563733363133599,1,1,1,1
b13,1.0,9,5,0.11501097372006634,T1,True,0.3277384507554404,0.35842486247720334,1,1,1,1
b13,1.0,9,6,0.11487396154359344,T1,True,0.3255496962309016,0.356031173126302,1,1,1,1
b13,1.0,9,7,0.11723634803766209,T1,True,0.325531645553955,0.3560114323501213,1,1,1,1
b13,1.0,9,8,0.11360715696329537,T1,True,0.3272897934431368,0.35793419702403134,1,1,1,1
b13,1.0,9,9,0.12292173793984346,T1,True,0.31304111462525197,0.3406014138654684,0,0,0,0
b13,1.0,9,10,0.11556053983922322,T1,True,0.3278562543411085,0.35855369610626053,1,1,1,1
b13,1.0,9,11,0.11441448909306365,T1,True,0.32742883163184994,0.3580862534688999,1,1,1,1
b13,1.0,9,12,0.11645454570955668,T1,True,0.32624212398988994,0.35678843344689837,1,1,1,1
b13,1.0,9,13,0.11339122235646805,T1,True,0.3273976135323314,0.3580521123939025,1,1,1,1
b13,1.0,9,14,0.11636160641081289,T1,True,0.32662297921010075,0.35720494844418693,1,1,1,1
b13,1.0,9,15,0.11212746091055414,T1,True,0.32732421333762657,0.3579718396806087,1,1,1,1
b13,1.0,9,16,0.11064957990120691,T1,True,0.32725718892022104,0.3578985397137118,1,1,1,1
b13,1.0,9,21,0.12387950571064936,T1,True,0.31079811235626253,0.3418651547073422,0,0,1,0
b13,1.0,9,22,0.11711874593536727,T1,True,0.3263473981587716,0.3569035645199136,1,1,1,1
b13,1.0,9,23,0.11356910040406457,T1,True,0.3264042570165051,0.35696574711770385,1,1,1,1
b13,1.0,9,24,0.11432938078081653,T1,True,0.32774521943108986,0.35843226490933544,1,1,1,1
b13,1.0,9,25,0.11378945737342182,T1,True,0.32706881353965306,0.35769252659648826,1,1,1,1
b13,1.0,9,26,0.11631371765395372,T1,True,0.3281032660652321,0.3588238357345074,1,1,1,1
b13,1.0,9,27,0.12014501807966604,T1,True,0.3283904765247288,0.3591379379376814,1,1,1,1
b13,1.0,9,28,0.11503397382537293,T1,True,0.3273111563240955,0.35795756012851937,1,1,1,1
b13,1.0,9,40,0.1157836597067247,T1,True,0.3277094653934698,0.3583931631927459,1,1,1,1
b13,1.0,9,41,0.11499287748053431,T1,True,0.3270444655852833,0.3576658989237923,1,1,1,1
b13,1.0,10,1,0.11743104960123524,T1,True,0.32740998033720575,0.35966286289106664,1,1,1,1
