rho_true,rho_hat,branch,stable,cov_adaptive,cov_T1,cov_T3,w_T1,w_T3,w_T2
0.1,0.09886393031653157,T1,True,1,1,1,0.27158334770465964,0.2700293835624038,0.2889777293614254
0.1,0.1026049131722665,T1,True,1,1,1,0.22014398625166737,0.21906476127668717,0.23415022316458806
0.1,0.09115072605762203,T1,True,1,1,1,0.23937579226510755,0.23809004053882601,0.25779398160890366
0.1,0.09886484678378628,T1,True,0,0,0,0.2677559478517494,0.26620738177943404,0.2859968527061924
0.1,0.10210173628394675,T1,True,1,1,1,0.24300184153132906,0.24135068604820392,0.2615752112563856
0.1,0.10334445903547755,T1,True,1,1,1,0.23378764404753619,0.23209460232153922,0.24231991018449742
0.1,0.10950429431741282,T1,True,1,1,1,0.20106916953392695,0.1999162163470853,0.2192157627513253
0.1,0.1089672363676514,T1,True,1,1,1,0.229142660050975,0.22713532490683527,0.24888408763282718
0.1,0.10767072792771923,T1,True,1,1,1,0.20666972533743458,0.20517727076197567,0.22538170425287926
0.1,0.09516817139930908,T1,True,1,1,1,0.23887445462711615,0.2373644205000608,0.25907572513885063
0.1,0.10919376844853562,T1,True,1,1,1,0.21376642279055566,0.21226301647324788,0.23143298336563323
0.1,0.10402799757229486,T1,True,1,1,1,0.23713429757424928,0.2361471516323731,0.2518067346745994
0.1,0.09122305411740769,T1,True,0,0,0,0.25285332049728754,0.2516707233414982,0.2708867285940097
0.1,0.09980711336089013,T1,True,1,1,1,0.24256359241560088,0.24158801597109203,0.2559145175621086
0.1,0.10516536974338299,T1,True,1,1,1,0.19689389452338074,0.19568489106441161,0.2157520742661127
0.1,0.10958659278368103,T1,True,1,1,1,0.2099597925265553,0.20909120374030774,0.2242469051589518
0.1,0.10973600512515543,T1,True,1,1,1,0.18758503567920137,0.18652142565136784,0.2034736500906591
0.1,0.10751838539321,T1,True,1,1,1,0.20453327308735428,0.2031544379804043,0.222240720338461
0.1,0.10284669648282889,T1,True,1,1,1,0.24206667769401988,0.24074031941165838,0.25805499094470824
0.1,0.09996634317029195,T1,True,1,1,1,0.2765625450701857,0.27568768837570184,0.28922246979755617
0.1,0.10451400099486571,T1,True,1,1,1,0.21976199501693292,0.21830788712402233,0.23884645080476216
0.1,0.10317245427962876,T1,True,1,1,1,0.2110165087110659,0.21031343292543728,0.2264626304822549
0.1,0.10539534386396149,T1,True,1,1,1,0.2343172974367425,0.23287265019285186,0.2508579622003103
0.1,0.09863397637082537,T1,True,1,1,1,0.24175361028720566,0.24074763117965783,0.26002390085358684
0.1,0.11066569029868036,T1,True,1,1,1,0.20435830048957412,0.20350601422262085,0.21850697692466872
0.1,0.11166478055675465,T1,True,0,0,0,0.18429357168873714,0.18336397229298548,0.2057367709370378
0.1,0.10252087484223014,T1,True,1,1,1,0.21927579234930586,0.21743570146644353,0.24000265714537225
0.1,0.09144534560972856,T1,True,1,1,1,0.23804934939828198,0.23698438164634247,0.2531151008906796
0.1,0.1092213701795637,T1,True,1,1,1,0.23345448267038182,0.2322400686798348,0.24709215472829604
0.1,0.09986147370031517,T1,True,1,1,1,0.2656820585791227,0.2636467830770034,0.2894076230665116
0.1,0.10256607696450061,T1,True,1,1,1,0.22608343848975343,0.22535211387403228,0.24219433479655378
