iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
20,20,rej_leader,77,1.0,False,False,2,5,7
276,276,rej_leader,77,1.0,False,False,4,3,7
32,32,rej_leader,77,1.0,False,False,5,3,7
356,356,rej_leader,77,1.0,False,False,5,3,7
36,36,rej_leader,77,1.0,False,False,4,3,7
360,360,rej_leader,77,1.0,False,False,3,4,7
364,364,rej_leader,77,1.0,False,False,3,4,7
392,392,rej_leader,77,1.0,False,False,5,3,7
400,400,rej_leader,77,1.0,False,False,4,4,7
410,410,rej_leader,77,1.0,False,False,5,3,7
417,417,rej_leader,77,1.0,False,False,3,4,7
458,458,rej_leader,77,1.0,False,False,3,5,7
498,498,rej_leader,77,1.0,False,False,3,3,5
50,50,rej_leader,77,1.0,False,False,3,3,7
504,504,rej_leader,77,1.0,False,False,4,4,7
51,51,rej_leader,77,1.0,False,False,3,3,7
528,528,rej_leader,77,1.0,False,False,3,5,7
554,554,rej_leader,77,1.0,False,False,4,3,7
566,566,rej_leader,77,1.0,False,False,4,3,7
586,586,rej_leader,77,1.0,False,False,4,3,7
604,604,rej_leader,77,1.0,False,False,5,3,7
630,630,rej_leader,77,1.0,False,False,3,3,7
642,642,rej_leader,77,1.0,False,False,4,3,7
643,643,rej_leader,77,1.0,False,False,4,3,7
688,688,rej_leader,77,1.0,False,False,4,3,7
702,702,rej_leader,77,1.0,False,False,3,4,7
704,704,rej_leader,77,1.0,False,False,3,4,7
705,705,rej_leader,77,1.0,False,False,3,3,6
716,716,rej_leader,77,1.0,False,False,3,4,7
724,724,rej_leader,77,1.0,False,False,4,3,6
76,76,rej_leader,77,1.0,False,False,4,3,7
764,764,rej_leader,77,1.0,False,False,3,5,7
804,804,rej_leader,77,1.0,False,False,4,3,7
840,840,rej_leader,77,1.0,False,False,5,3,7
858,858,rej_leader,77,1.0,False,False,4,3,7
862,862,rej_leader,77,1.0,False,False,3,3,7
31,Azerbaijan,rej_leader,77,1.0,False,False,2,3,6
100,Bulgaria,rej_leader,77,1.0,False,False,2,3,5
124,Canada,rej_leader,77,1.0,False,False,3,4,7
196,Cyprus,rej_leader,77,1.0,False,False,3,5,7
203,Czechia,rej_leader,77,1.0,False,False,2,3,7
218,Ecuador,rej_leader,77,1.0,False,False,2,6,7
818,Egypt,rej_leader,77,1.0,False,False,4,4,7
231,Ethiopia,rej_leader,77,1.0,False,False,2,5,7
268,Georgia,rej_leader,77,1.0,False,False,3,3,6
320,Guatemala,rej_leader,77,1.0,False,False,2,5,7
344,Hong Kong SAR,rej_leader,77,1.0,False,False,3,5,7
348,Hungary,rej_leader,77,1.0,False,False,2,3,5
368,Iraq,rej_leader,77,1.0,False,False,4,4,7
398,Kazakhstan,rej_leader,77,1.0,False,False,2,6,7
434,Libya,rej_leader,77,1.0,False,False,2,6,7
484,Mexico,rej_leader,77,1.0,False,False,5,3,7
807,North Macedonia,rej_leader,77,1.0,False,False,2,3,4
578,Norway,rej_leader,77,1.0,False,False,2,3,5
608,Philippines,rej_leader,77,1.0,False,False,4,3,7
703,Slovakia,rej_leader,77,1.0,False,False,2,3,7
710,South Africa,rej_leader,77,1.0,False,False,4,3,6
752,Sweden,rej_leader,77,1.0,False,False,3,3,6
792,Turkey,rej_leader,77,1.0,False,False,5,3,7
826,United Kingdom,rej_leader,77,1.0,False,False,3,3,7
860,Uzbekistan,rej_leader,77,1.0,False,False,2,6,7
31,Azerbaijan,sup_demsys,77,0.0004997501249375312,True,True,2,3,6
788,Tunisia,sup_demsys,77,0.0004997501249375312,True,True,2,6,7
