cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
ME,11,1609,0.966438781852082,0.9763828464885022,1.0,1.0,1.0,1.0,1.0,1.0,394,8,core
MK,10,1429,0.9874037788663401,0.9790062981105668,1.0,1.0,1.0,1.0,1.0,1.0,170,16,core
NL,1,2364,0.9839255499153976,0.9801184433164128,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,2,1881,0.9909622541201488,0.9696969696969697,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,3,1889,0.9851773425092641,0.9703546850185283,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,4,1778,0.9904386951631046,0.9786276715410573,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,5,1829,0.9852378348824494,0.9814106068890104,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,6,1845,0.9886178861788618,0.978319783197832,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,7,1919,0.9916623241271496,0.9781136008337676,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,8,1681,0.9886972040452112,0.9773944080904223,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NL,9,1673,0.9784817692767483,0.9736999402271369,1.0,1.0,1.0,1.0,1.0,1.0,1673,48,core
NL,10,1470,0.9897959183673469,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1470,48,core
NL,11,1695,0.9882005899705014,0.9746312684365782,1.0,1.0,1.0,1.0,1.0,1.0,1695,48,core
NO,1,2036,0.9970530451866405,0.9887033398821218,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,2,1760,0.99375,0.9892045454545455,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,3,1750,0.996,0.988,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,4,1549,0.9922530664945126,0.986442866365397,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,5,1548,0.9935400516795866,0.9864341085271318,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,6,1624,0.9883004926108374,0.9913793103448276,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,7,1436,0.995125348189415,0.9874651810584958,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,8,1545,0.9967637540453075,0.9902912621359223,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
NO,9,1406,0.9957325746799431,0.9921763869132291,1.0,1.0,1.0,1.0,1.0,1.0,1406,42,core
NO,10,1411,0.997165131112686,0.9964564138908576,1.0,1.0,1.0,1.0,1.0,1.0,1411,36,core
NO,11,1337,0.9955123410620793,0.9955123410620793,1.0,1.0,1.0,1.0,1.0,1.0,1337,36,core
PL,1,2110,0.956872037914692,0.9360189573459715,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,2,1716,0.9790209790209791,0.9434731934731935,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,3,1721,0.9750145264381174,0.9389889599070308,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,4,1619,0.964793082149475,0.9351451513279803,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,5,1751,0.9645916619074815,0.9503141062250143,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,6,1898,0.9741833508956796,0.9494204425711275,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
